Carrie Fisher,vfc fs cr jemi uoor ufrifmfe voodn?
Claude Gensac,vkt ks tr efoj dppr dkrjkokf vppmb?
Bong Go,vir iq rp ghma uoop uipaimih vookn?
Heno Magee,vkr kq rp jbnh ueep ukphknkb veelo?
Annanias Mathe,vlt ls tr khoi ueer ulrilolh veecp?
Tricia McCauley,wmb mu bt liqk gfft gmtkmqmi wffch?
George A. Russell,vld lt ds kbpi fqqs flsilplb vqqnh?
Barbara Tarbuck,vjc jt cs higa epps ejsajgji vppmo?
Hans Tietmeyer,wnj nu jt mgqk vhht vntknqng whhfr?
Ratnasiri Wickremanayake,xoa ov au njim wkku woumoioj xkkfs?
Michele Amas,vks kr sq jeni uaaq ukqiknke vaabf?
Ashot Anastasian,vlt ls tr jkoh uqqr ulrhlolk vqqgp?
John J. Benoit,vls lr sq kfne uppq ulqelnlf vppgo?
Joachim Calmeyer,wnk ns kr mipl vggr vnrlnpni wggfh?
Jaume Camprodon i Rovira,moh ot hg jern cddg cognoroe mddls?
Duck Edwing,wlt ls tr aedk bppr blrkldle wppgo?
Petr Hájek,vld ls da kbgi uppa ulailglb vppno?
Ricky Harris,wla lt as jkdi vpps vlsildlk wppbo?
George S. Irving,gmd mt ds lbpj vrrs vmsjmpmb grrfq?
Kalinik of Vratsa (no),hgi gu it noal vsst vgtlgago hssdc?
Bujar Lako,vle ls er jkga bppr blralglk vppof?
Seth J. McKee,vlt ls tr kbhj uffr ulrjlhlb vffno?
Peter Nowell,wmd mt da lbrj vssa vmajmrmb wssph?
Luciano Panetti,vmt ms th liqk brrh bmhkmqmi vrrda?
Elvio Porta,cmg mt gf laqj vrrf vmfjmqma crrdb?
Buddha Sayami,wlu lt us ckoa bhhs blsalolk whhip?
Ashot Yeghiazaryan,xpk pv ku ogrm wttu wpumprpg xttis?
Aghakhan Abdullayev,lnu nt us gkdf hqqs hnsfndnk lqqoi?
Sibylle Boden-Gerstner,wok ou kt hfrc vsst votcorof wssbe?
Lady Marion Fraser,wjf jt fs clrm vees vjsmjrjl weega?
Sandra Giles (fr),vje js er diok uppr ujrkjoji vppgh?
John Sedgwick Gregson,wpm pt ms gflo vrrs vpsoplpf wrrjq?
Karl Golser,vlc ls cr khai uppr ulrilalh vppnd?
George Michael,vmd mr dq lbok ueeq umqkmomb veefj?
Alphonse Mouzon,wou ot uc nhsl jiic joclosoh wiiqb?
John Nike,vlr lq rp kgfi uoop ulpilflg vooen?
Miriam Pirazzini,wlc ls ce jkph vaae vlehlplk waabq?
Núria Pompeia,vlb lr be khpi ugge uleilplh vggcq?
Vera Rubin,akc kt cs jbof eqqs eksfkokb aqqgp?
Johnny Rutherford,wjf ju ft kiqm gsst gjtmjqji wsspr?
Léon-Raymond Soulier,wod ou dt hlsm jggt jotmosol wggka?
Frederich Stark,vab at bs dckl upps uaslakac vppeo?
Eliseo Subiela,vkt ks tr jaog fppr fkrgkoka vppcb?
Rafael Vardi,fca cs ar gdni voor vcricncd foohe?
Notable Russian people killed in the Russian Defence Ministry Tupolev Tu-154 crash:,tph pw hl ngme irrl iplepmpg trrkf?
Elizaveta Glinka,fnu nt us majk wqqs wnsknjna fqqcb?
Anton Gubankov,imu mt us klhg frrs fmsgmhml irroq?
Valery Khalilov,ane nt es mdgk wqqs wnskngnd aqqic?
Edith Ackermann,vmi ms ir bahl ujjr umrlmhma vjjcp?
Richard Adams,vka ks ar fjni uggr ukriknkj vggbo?
Pape Badiane,vir iq ra ecmd uooa uiadimic voofn?
John Barfield,vhg hr gq ljoe uppq uhqehohj vppik?
Dinanath Bhargava,jmh mt hs alog vqqs vmsgmoml jqqbp?
Mihai Curagau (ro),vmg ms gr kloj faar fmrjmoml vaabp?
Joseph Fitzmyer,xgm gv me qdso wkke wgeogsgd xkkht?
Felix Krivin,hag at gs mbfk wqqs waskafab hqqdc?
Ted Meines,vkt ks tr cboi uddr ukrikokb vddep?
Rick Parfitt,vga gs ae jkdi uppe ugeigdgk vppbo?
Gil Parrondo,vmf mr fd ilpj uqqd umdjmpml vqqbc?
Chetan Ramarao,vlg ls gr kcpj uhhr ulrjlplc vhhnq?
Edwin Reinecke,wkf ks fr bahj vppr vkrjkhka wppdo?
Vasant Sarwate,alf lv fu khqi wssu wluilqlh assor?
Jirí Smetana (cs),vmc mt cs lfpk uees umskmpmf veebq?
Carole Smith,vnc nt cs mfql uhhs unslnqnf vhhie?
Liz Smith,wmu mt us klpi vees vmsimpml weeba?
Davy Smyth,clv lu vt akpi wfft wltilplk cffnq?
Bronson Thayer,wmb mu bt ljqa vsst vmtamqmj wssor?
C. Howard Wilkins,wof ot fs gnjm vrrs vosmojon wrrhi?
Zhao Er-mi,wlf ls fr keoi vggr vlrilole wgghp?
Anis Amri,vkf ks fr ijog ueer ukrgkokj veecp?
Claude Arnold,vkg ks gr efpj dqqr dkrjkpkf vqqnb?
Joey Boots,wku kt us jcoe vqqs vksekokc wqqnp?
Doug Coombs,vkt ks tr ajog cffr ckrgkokj vffmp?
Clint Cummings,vnu nt us lmqk fggs fnsknqnm vggcb?
Jean Gagnon,vjr jq rp ibmg uoop ujpgjmjb vooln?
Alida Victoria Grubba Rudge,eni nu it dmql krrt kntlnqnm errcb?
Robert Hinde,vla ls ar idoc uqqr ulrclold vqqgp?
Meto Jovanovski,fou ot us nbjl vaas voslojob faakr?
Willa Kim,wks kr sq ijeg vffq vkqgkekj wffbc?
Jim Lehew,wls lr sq keni vccq vlqilnle wccbd?
Tim Pitsiulak,vnu nt ud lmij fccd fndjninm vccbg?
Heinrich Schiff,vhe hs er kbnj uppr uhrjhnhb vppco?
Piers Sellers,vkd ks da jcoh uppa ukahkokc vppbf?
Luba Skorepová (cs),knh nu hj mifc bssj bnjcnfni kssqa?
Vladimir Stupishin,aqg qv gk dptn jffk jqknqtqp affeb?
George Thompson,vod ot dh nbrl uggh uohlorob vggps?
Vesna Vulovic,amu mt us lbqk frrs fmskmqmb arrig?
Mick Zane,wks kr sq jhdi vaaq vkqikdkh waabo?
William Abitbol,wlt ls tr jkpf veer vlrflplk weebc?
Carlos Averhoff,gjc jt cs lhpk vqqs vjskjpjh gqqnd?
John Buckingham,vos or sq mnhe fllq foqeohon vllip?
Mocho Cota,vjs jr sq hing uaaq ujqgjnji vaalo?
Yevgeny Dzhugashvili,cpw pv wu fbrn issu ipunprpb csslm?
Bodil Kaalund (da),vls lr sq ckfa hppq hlqalflk vppde?
Solomon Levy,gmu mt us lfrj wdds wmsjmrmf gddpc?
Andre Martel,vkd ks dr cepi uffr ukrikpke vffnh?
Ruud Merx,wja jt as ceoh bdds bjshjoje wddmp?
Frank Murray,wab at bs klei gffs gasiaeal wffoq?
Andrés Rivera,gkd kt ds choi vqqs vksikokh gqqfp?
Philip Saville,glt ls ta khoi vppa vlailolh gppcd?
Kenneth Snelson,vmt ms tr lbaj uqqr umrjmamb vqqog?
Franca Sozzani,wab at bs klpj vrrs vasjapal wrriq?
Robert Tucker,vka kt as jdhc fqqs fksckhkd vqqnp?
Sir Dwight Venner,ioc ov cu djqm wssu woumoqoj issbr?
Lella Vignelli,dks kr sq jbnh vooq vkqhknkb dooea?
Lillian Walker,wlh ls hr kgfi vppr vlrilflg wppba?
Miruts Yifter,whc hv cu miqk daau dhukhqhi waabr?
Benjie Castro,vmj mt js lbpa urrs umsampmb vrreq?
Corno,vic ir cq ghnf uppq uiqfinih vpplo?
Deddie Davies,eit is tr abmg voor virgimib eoocn?
Welington de Melo,wnt ns tr ibql vjjr vnrlnqnb wjjdc?
Sidney Drell,wlg lt gs cepj vqqs vlsjlple wqqbh?
Abdul Gafur Hali,vgh gs hr clnb door dgrbgngl vooje?
John Gwilliam,wos or sq mnpk vjjq voqkopon wjjgh?
Robert Leo Hulseman,voa ou at ndsc hjjt hotcosod vjjqf?
P. J. Lambrecht,vmg ms ga lhpf ueea umafmpmh veeoc?
Sam Leach,vjs jr sq ienh uccq ujqhjnje vccld?
Remigijus Morkevicius,kpa pu at objn gcct gptnpjpb kccdr?
Weston Noble,wlu lt us kbqg vrrs vlsglqlb wrroh?
Sehmus Özer,wlg lu gt kbpi eddt eltilplb wddnq?
Chad Robinson,vle ls er dkog uqqr ulrglolk vqqhp?
Vyacheslav Shalevich,alu lt us kfoj wpps wlsjlolf appih?
Betty Loo Taylor,wkh kt hs jbpa vqqs vksakpkb wqqne?
Lawrence Borst,wmd mu dt lerh vsst vmthmrme wsspa?
Robert Eddins,vla lt as fdpc urrs ulsclpld vrrgq?
Raymond Heacock,wma ms ar gikl vddr vmrlmkmi wddoq?
Toby Hemenway,xmu mt us lfqc wggs wmscmqmf xggor?
El Hortelano,vle ls er kapi uqqr ulrilpla vqqnb?
Patrick Jenkin,vmd ms da ligk uqqa umakmgmi vqqep?
Andrew Killgore,wnd ns dr cegl vqqr vnrlngne wqqhi?
Archie Miyatake,wmb mt bs lfjk vggs vmskmjmf wggep?
Michèle Morgan,vnh nr hq mfpl uaaq unqlnpnf vaabe?
Dame Frances Patterson,vef et fj adrm uccj uejmered vccps?
Paul Peter Porges,vng nu ga merk cssa cnaknrne vsspd?
Ines Prange (no),vmf ms fe lcpj urre umejmpmc vrraq?
Jagannatha Varma,gnh nt hs lmpj viis vnsjnpnm giioq?
Elizabeth Bell,wkt ks tr janf voor vkrfknka woocb?
Ger Blok,vkc kr cq jbgd uooq ukqdkgkb voome?
Lionel Blue,vks kr sq jeof gppq gkqfkoke vppba?
Anne Borg,vjf jr fq icnd uppq ujqdjnjc vpplo?
Andrew Dorff,whd hs dr ceoi vqqr vhrihohe wqqmp?
Phil Gagliano,vmr mq ra kloi uppa umaimoml vppcd?
Hugh Iltis,vmu mt us kloi bpps bmsimoml vppde?
Andrei Karlov,jmd ms dr cegk vqqr vmrkmgme jqqfh?
Dick Latessa,vkt ks tr ahdj uoor ukrjkdkh voobe?
Ville Lyytikäinen,amu mt us ldgj wqqs wmsjmgmd aqqbc?
Anupam Mishra,vni nt id lmqj ceed cndjnqnm veefr?
Sir John Oakeley,wpc pt cs ojim vrrs vpsmpipj wrrbk?
Jim Pettapiece,vks kr sd jeni uccd ukdiknke vccbo?
Anique Poitras,voj od jg nfsl euug eoglosof vuuct?
Larry Que,wkc ke ct jgph fqqt fkthkpkg wqqna?
Jan Scholtens (nl),vmt ms tr ljpk uqqr umrkmpmj vqqoh?
Aleksander Shlepyanov,mph pu hj gcdn wttj wpjnpdpc mttrb?
Fidel Uriarte,vag at gs cdoj fpps fasjaoad vppbe?
Christopher Young,wqc qv ch piso kuuh kqhoqsqi wuudt?
Eddie Bailham,vjr jq rp bamd uhhp ujpdjmja vhhcf?
Ken Baird,vjg jr gq hbad uooq ujqdjajb voofn?
Rebecca Black,via ir aq hbgc unnq uiqcigib vnnlf?
Arve Bringaker (no),cmb ms br ldie vqqr vmremimd cqqfp?
Rolf Trygve Busch,hda dw av pisj kttv kdvjdsdi httqc?
Saumitra Chaudhuri,vmg mu gt jlpk cddt cmtkmpml vddeq?
Enrique Cirules,vmc me ct laqk frrt fmtkmqma vrrdh?
Brendan J. Dugan,vkb ks br ecna hppr hkraknkc vppmo?
Zsa Zsa Gabor,wkg kt gs ijoe vqqs vksekokj wqqmp?
Guinio Ganev,hlt ls tr kgoi bqqr blrilolg hqqcp?
Bobby Guanzon,xlu lt us jkpa errs elsalplk xrrnq?
Sata Isobe,vjt js tr ignf uppr ujrfjnjg vppdo?
Vibeke Knudsen (no),amu mt us hdec grrs gmscmemd arrbq?
Jack V. Lunzer,enk nu kt mjdl grrt gntlndnj errqf?
China Machado,vkr kq rp gjni uffp ukpiknkj vffco?
Léo Marjane,vle lr eq khpi uccq ulqilplh vccoa?
Sonny Moran,wlf lt fs jkqh vees vlshlqlk weeor?
Herbert Nootbaar,vkc ks cr jbod uqqr ukrdkokb vqqmp?
Rachel Owen,wla ls ar kepj vqqr vlrjlple wqqnf?
Gustavo Quintero,fpl ph lv oksm buuv bpvmpspk fuuit?
Bruno Reinfeldt,vhb ht bs jfqa crrs chsahqhf vrrgi?
Gordie Tapp,vlc ls ci dfoj uqqi ulijlolf vqqep?
Heinz Ulzheimer,wni nt is mbqk fhhs fnsknqnb whhcg?
Sven Zetterberg (sv),bmg mv gu lcqh wssu wmuhmqmc bssor?
Houshmand Almasi,vnt ns tr hmqk ceer cnrknqnm veeji?
Guillermo Benites,vpf pu ft oesi bggt bptipspe vggcd?
Bob Coburn,vje js er hioa dqqr djrajoji vqqmp?
Eric Defoort,vfb fs br eanj uppr ufrjfnfa vppco?
Edmond Farhat,vfh fs hr bapk uccr ufrkfpfa vccnq?
Benjamin A. Gilman,vlr lq rp kbna uffp ulpalnlb vffgi?
Walter Hachborn,wmf mt fs leqi vrrs vmsimqme wrroc?
William T. "Bill" Hanna,wmt ms tr klpg veer vmrgmpml weebc?
Louis Harris,vmh mt hs klpi cqqs cmsimpml vqqda?
Henry Heimlich,wmd ms dr lbpk vggr vmrkmpmb wggfh?
William H. Hudnut III,wnu nt us hmqk gees gnsknqnm weebc?
Gordon Hunt,vmc mt cs dlpj grrs gmsjmpml vrrnq?
Alf Monrad Knudsen (no),vcg ct gs hlim jdds jcsmcicl vddqb?
Leanid Marakou,vnh ns hr fbil kggr knrlninb vggea?
Anne Ranasinghe,vld ls dr kcni uppr ulrilnlc vppfo?
Ismoil Talbakov,jnu nt us lmih vccs vnshninm jccae?
Jafar Vali,ecd cs dr jknh voor vcrhcnck eoogf?
David Berry,cjg jt gs afne wpps wjsejnjf cppdo?
Jigme Dorje Palbar Bista,vph pt hi ferl uddi upilprpe vddbk?
Tom Boyle,wkt ks tr jgpd vccr vkrdkpkg wccnf?
Joyce Dalton,wlt ls tr fepk vqqr vlrklple wqqoh?
Imrich Gablech (cs),vmc ms cr ljoh ubbr umrhmomj vbbai?
Cecil Howard,wli ls ir jbok vppr vlrklolb wppcd?
Beki Ikala Erikli,vjg jr gq ibca unnq ujqajcjb vnndf?
Bill Malenfant,vhs hr sq kfoa uddq uhqahohf vddbc?
Faina Melnik,var aq rp kfhi ueep uapiahaf veecg?
Saintly,wlu lt us jkph vqqs vlshlplk wqqcf?
Jim Williams,wlt ls tr jkoh vccr vlrhlolk wccbe?
Chuck Allen,vks kr sq jgdi cooq ckqikdkg voomf?
Albert Bennett,vje js er idoc uppr ujrcjojd vppmb?
Howard Bingham,wne ns er fmpg vkkr vnrgnpnm wkkhq?
Leanna Brown,wkf ks fr jbpe vqqr vkrekpkb wqqna?
HC Ejemyr,wkg ks gr jcni veer vkriknkc weemo?
Shuji Iuchi,vkt ks tr ijmh coor ckrhkmkj vooen?
Fran Jeffries,vab as br kfni uppr uarianaf vppgo?
Osiride Pevarello,hmd mt dg efqk vrrg vmgkmqmf hrrcj?
Craig Sager,vjb js br igmh uoor ujrhjmjg voodn?
Harley Saito,wnc nu ct meqk vrrt vntknqne wrrhd?
Dave Shepherd,ckh kt hg adoi vqqg vkgikokd cqqmp?
Bohdan Smolen,vls lr sq djpa uhhq ulqalplj vhhni?
Ajit Varman,emf mt fs klpi vggs vmsimpml eggcq?
Ron Ziel,wla ls ar kfpi vqqr vlrilplf wqqeg?
Mohamed Zouari,wmi mt is fepk haas hmskmpme waajq?
Paulo Evaristo Arns,gph pv ha oftm cuua cpamptpf guuid?
Fosco Becattini,vat as tr kfoe uqqr uareaoaf vqqip?
Wade Bourne,wkh kt hs cdpe grrs gksekpkd wrrnq?
Susan Christopherson,vog ou gk nlrm bttk bokmorol vtths?
Shirley Dysart,wmd mu dt hfpk vqqt vmtkmpmf wqqce?
Stephen Fienberg,vgj gt jd ncpi urrd ugdigpgc vrrhq?
Bernard Fox,wgc gs cr fboa vqqr vgragogb wqqmp?
Harold Gilliam,vmc mr cq floj uiiq umqjmoml viihe?
Garrett K. Gomez,wmc mt cs ldfj vhhs vmsjmfmd whhoq?
Hurricane Run,vkc ks cr jhni bppr bkriknkh vppdo?
Karel Husa,vlc lt cs kdai gpps glsilald vppne?
Halfdan T. Mahler,vdj ds jr eipk uhhr udrkdpdi vhhnc?
Michael Manning,vlr lq rp kfnj uaap ulpjlnlf vaabg?
Bent Mortensen (da),vlg lt gs ibqa uees ulsalqlb veeor?
Arnie Norse (no),vkb ks br jeoh uqqr ukrhkoke vqqdp?
Tom Ong,vks kr sq ijog uccq ukqgkokj vccmp?
Sadatoshi Ozato,wlu lt us ckoi vqqs vlsilolk wqqgp?
Päivi Paunu,ckt ks ta ijog eqqa ekagkokj cqqbp?
Ahmed Rateb,vjf js fr ednh uccr ujrhjnjd vcclo?
Sir Dudley Smith,woc ov cu dgrm eiiu eoumorog wiibf?
Reginald Stackhouse,vqa qu at hblp osst oqtpqlqb vssdg?
Harvey Stevens,dmc mv cu leqj wssu wmujmqme dssor?
Jeremy Summers,wlc lu ct kbpi gddt gltilplb wddoq?
Trevor Tice,dkb kt bs jcoi vqqs vksikokc dqqfp?
Gennady Tsygurov,loj ow jv ebsm iuuv iovmosob luuqt?
Bunny Walters,xnj nw jv misa bttv bnvansni xttqg?
Rini Cesillia,vka ks ar jeoi uppr ukrikoke vppbg?
Lawrence Colburn,wld lt ds keqi jrrs jlsilqle wrroa?
Roy Harrover,fka kt as jgoh wqqs wkshkokg fqqmp?
Ahuva Ozeri,dmh mu ht lgpj crrt cmtjmpmg drriq?
Betsy Pecanins,wlu lt uf kbpa vrrf vlfalplb wrrjq?
Ralph Raico,vla lr ad jkoi uppd uldilolk vppfc?
Thomas Schelling,vot os tr nhqm uddr uormoqoh vddji?
Poul Søgaard,vmh mt ha ilqj crra cmajmqml vrrod?
David Strangway,cog ow gv anrl xttv xovloron cttds?
Zubaida Tharwat,xmi mv iu flpc brru bmucmpml xrreq?
Alan Thicke,vls lr sq kihj uooq ulqjlhli voofb?
Fernando Vignoli,hac as cr fbpl vqqr varlapab hqqik?
Andrzej Wasilewicz,xnd nu dt cfqm wrrt wntmnqnf xrrjk?
Yevgeny Yufit,cgv gu vt mbpk frrt fgtkgpgb crrhq?
Barrelhouse Chuck,vmc mt cs ldka hqqs hmsamkmd vqqoe?
E. R. Braithwaite,wkb kt bs janc vpps vkscknka wppeo?
Myron H. Bright,woc ot cs mnqg vaas vosgoqon waahr?
Lucila Campos,vmt ms tg klqj bffg bmgjmqml vffda?
Gerard Clifford,vic ir cq ebnk uooq uiqkinib voohg?
Donald L. Corbin,vkg kr gq ajoh uppq ukqhkokj vppie?
Jean-Claude Deret,vli lt is hbpk gqqs glsklplb vqqof?
Anne Deveson,ejt js tr dcoh vqqr vjrhjojc eqqmp?
Javier Echevarría Rodríguez,cof ou ft jepn lrrt lotnopoe crrdq?
Jimbo Elrod,vlh lr hq ifod uccq ulqdlolf vccbg?
Mark Fisher,vec es cr lidj uaar uerjedei vaafo?
Shirley Hazzard,xmd mu dt jfpk wqqt wmtkmpmf xqqce?
Gustav Jahoda,fnv nu vt jmpk brrt bntknpnm frroq?
LeRoid Jones,vmc ms cr fbpk uqqr umrkmpmb vqqea?
Mico Kaufman,vhs hr sq klej gaaq ghqjhehl vaabp?
Ratan Kumar,vla lt as jkeh fggs flshlelk vggoq?
Lee Jung Hoo,vms mr sq lboj dppq dmqjmomb vppna?
Lord Gyllene,wlc ls cr dgpj vqqr vlrjlplg wqqna?
Jim Lowe,wls lr sq kgoi vccq vlqilolg wccbd?
Jim Prior,vle lr ed jkoh uccd uldhlolk vccbp?
Konrad Reuland,vld ls dr fgaj hqqr hlrjlalg vqqoi?
Bob Schnelker,vmj ms jr lgia uqqr umramimg vqqoh?
Charles Mwando Simba,wod ot ds kfrn vhhs vosnorof whhme?
Walter Swinburn,wnf nv fu merj kssu knujnrne wsshc?
Esther Wilkins,woe ou et nail vrrt votloioa wrrgh?
Sadiq Jalal al-Azm,wmt me ts clpj viis vmsjmpml wiidg?
Sark Arslanian,vlc ls cr jkdh uppr ulrhldlk vppge?
João Castelo,vkt ks tr jgoi uppr ukrikokg vppnh?
Valerie Gell,ake ks er jdnh voor vkrhknkd aoofc?
Harry Jones,wmc mt cs lhpj vrrs vmsjmpmh wrroq?
Bob Krasnow,wld lt ds jkca vrrs vlsalclk wrroq?
Joe Ligon,vlr lq rp kcni uoop ulpilnlc vooed?
Charlie McNeil,vld lr dq kgoj uhhq ulqjlolg vhhfe?
John Moffat,vfs fr sq kloi ueeq ufqifofl veenp?
Marie Muhammad,vkc ks cr heni faar fkriknke vaado?
Michael Nicholson,vms mr sq lfpk uaaq umqkmpmf vaabg?
Martin Noréhn,vmc ms cr klpi uaar umrimpml vaaeq?
Sid inn,vis ir sq chmf uooq uiqfimih voobn?
Kevin orrison,cmg mt gs lbaj vrrs vmsjmamb crrdq?
Ramesh Prabhoo,vla ls ag kdph uccg ulghlpld vccnq?
Marion Pritchard,vnc ns cg kmql uaag unglnqnm vaadr?
Esma Redžepova,ile lt eg faqj vccg vlgjlqla iccor?
Claus Ryskjær,wmf mu ft klhj dqqt dmtjmhml wqqpb?
Alan Sherlock,vmg ms gr lfjk uqqr umrkmjmf vqqob?
Thressa Stadtman,vlc lt cs gdpj uhhs ulsjlpld vhhnq?
Mohamed Tamalt,vks kr sq feoi uaaq ukqikoke vaamh?
Roberto Vizcaíno,fma mu at ldqc wsst wmtcmqmd fssgr?
George Junus Aditjondro,vod ou dt jbqm fsst fotmoqob vsskr?
Peter Brabrook,vkd ks da jbhe uqqa ukaekhkb vqqnp?
Felix Browder,xag at gs jbpf wqqs wasfapab xqqdc?
T. Neil Davis,hlu lt us fcpj vqqs vlsjlplc hqqde?
Bill Dineen,vir iq rp dfma unnp uipaimif vnnbc?
Wolfgang Eisenmenger,wdl dt ls ohrm vkks vdsmdrdh wkkic?
Damião Experiença,wmi ms ih afqk vcch vmhkmqmf wccdr?
Étienne Fabre,veh es hr jcng uppr uergenec vppbo?
Jean-Claude Frécon,vij is jr hbpl gqqr girlipib vqqof?
A. A. Gill,vir iq rp ghle ummp uipeilih vmmcd?
Gene Hamm,vjr jq rp ibmg uffp ujpgjmjb vffkn?
Ken Hechler,vkg kr gq jbai uooq ukqikakb voomf?
Hans-Eric Hellberg,vmf ms fr leoj uppr umrjmome vppgi?
Barrie Hillier,vjc jr cq iema unnq ujqajmje vnndg?
Eric Hilton,vmb ms br lapk uqqr umrkmpma vqqcf?
László Huzsvár,fmg mv gu klqi erru emuimqml frroa?
Paul Shinichi Itonaga,vpu pt ua norm cssa cpamprpo vssgd?
Herm Johnson,vmc ms cr lbpj uddr umrjmpmb vddoq?
Rick Klassen,vla ls ar khdj uppr ulrjldlh vppbe?
George Klein,vmd mr dq lbej uppq umqjmemb vppgf?
V. C. Kulandaiswamy,apw pv wu hocn dllu dpunpcpo allie?
Yorman Landa,wlc ls cr hkqi vddr vlrilqlk wddog?
Miles Lord,vlg ls gr hdpj uaar ulrjlpld vaabc?
George Mantalis,vod ot ds nbrl uees uoslorob veeji?
Ian McCaskill,vls lr sq jkgi uddq ulqilglk vddah?
Tommy McCulloch,wmu mt us klqj fccs fmsjmqml wccog?
Sergey Mikaelyan,woc ot cs nbhl vffs voslohob wffgj?
John Montague,vnt ns tr mjpk ieer inrknpnj veeoq?
John Newhouse,wmu mt us lepj grrs gmsjmpme wrroq?
Luciano Nobili,vks kr sq ijoh bppq bkqhkokj vppda?
Allan Prell,vje jr ed ifog uppd ujdgjojf vppmb?
William J. Richardson,wpg pt gs jorn vees vpsnprpo weebc?
Alberto Seixas Santos,wne nu et mdrc vsst vntcnrnd wssib?
Robert Stiller,vla lt as kdpc uqqs ulsclpld vqqgh?
William Usery Jr.,xoi ov iu nhrl feeu fouloroh xeebc?
9,vfr fq rp dekb ummp ufpbfkfe vmmil?
Romualdas Aleliunas,vna nt as girl dccs dnslnrni vccjf?
Élcio Álvares,elg lt gs khpj vqqs vlsjlplh eqqca?
Ferenc Bárányi (hu),wac at cs lbof jqqs jasfaoab wqqhp?
Edwin Benson,wkt ks tr baof vqqr vkrfkoka wqqdp?
Georgia Blain,vld lr dq kbog uppq ulqglolb vppeh?
A. Ross Eckler Jr.,vlb ls br kegj uppr ulrjlgle vppoh?
Franco Gallo,vab ar bq jkoi uppq uaqiaoak vppmh?
Alejandro González Jr.,wmg ms gr fcpk vqqr vmrkmpmc wqqob?
Sergei Lemeshko,voc os cr nbil uggr uorloiob vggef?
Mario Milano,vlc lr cq jkph uaaq ulqhlplk vaadf?
Nola Ochs,vks kr sq ijoh uppq ukqhkokj vppmc?
Luke Owens,wmu mt us ldcj brrs bmsjmcmd wrrpa?
Jens Risom,vme ms er lbpj uhhr umrjmpmb vhhfq?
Rob Sherman,vla ls ar kfpc uggr ulrclplf vggnq?
Clif St. James,vdt ds tr ljok uiir udrkdodj viicb?
P. Viswambharan,boj ou ja mnrh wgga woahoron bggcs?
Ronald Webster,wma mu at fhri vsst vmtimrmh wsspe?
Günther Wilke,wof ot fs nejl vqqs voslojoe wqqhi?
